name,cont_estres_R1,cont_estres_R2,cont_estres_R3,control_R1,control_R2,ctrl_N7_XT17_R1,ctrl_N7_XT17_R2,ctrl_N7_XT17_R3,estres_N7_XT17_R1,estres_N7_XT17_R2,estres_N7_XT17_R3
AVESA.00001b.r3.1Ag0000001,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000002,0,0,0,0,0,0,2,0,0,0,0
AVESA.00001b.r3.1Ag0000003,57,40,40,16,38,32,29,37,33,32,32
AVESA.00001b.r3.1Ag0000004,0,0,0,0,0,2,0,0,0,0,0
AVESA.00001b.r3.1Ag0000005,76,98,138,44,110,22,67,45,106,82,146
AVESA.00001b.r3.1Ag0000006,3,5,11,4,4,0,1,5,0,5,12
AVESA.00001b.r3.1Ag0000007,49,39,47,39,40,12,50,44,48,35,58
AVESA.00001b.r3.1Ag0000008,7,6,4,13,8,10,7,8,3,6,3
AVESA.00001b.r3.1Ag0000009,0,4,2,3,2,2,0,2,2,1,4
AVESA.00001b.r3.1Ag0000010,0,2,2,8,5,0,15,8,5,5,4
AVESA.00001b.r3.1Ag0000011,0,0,0,2,0,0,1,0,0,2,0
AVESA.00001b.r3.1Ag0000012,6,4,12,6,10,2,5,10,4,3,3
AVESA.00001b.r3.1Ag0000013,24,59,37,41,39,14,36,43,41,46,50
AVESA.00001b.r3.1Ag0000014,0,2,0,0,0,0,0,2,0,0,0
AVESA.00001b.r3.1Ag0000015,13,9,11,7,8,2,20,14,12,7,18
AVESA.00001b.r3.1Ag0000016,26,19,25,27,13,14,10,16,27,15,37
AVESA.00001b.r3.1Ag0000017,407,938,908,795,829,223,736,750,676,809,927
AVESA.00001b.r3.1Ag0000018,67,68,102,68,47,1,62,76,100,68,83
AVESA.00001b.r3.1Ag0000019,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000020,2,5,4,0,0,2,4,11,4,1,4
AVESA.00001b.r3.1Ag0000021,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000022,6,17,6,11,16,4,12,12,22,19,11
AVESA.00001b.r3.1Ag0000023,21,0,19,26,4,14,30,40,36,8,12
AVESA.00001b.r3.1Ag0000024,52,45,74,46,30,3,48,38,82,25,66
AVESA.00001b.r3.1Ag0000025,44,47,65,44,37,6,61,74,50,50,63
AVESA.00001b.r3.1Ag0000026,0,0,1,0,0,2,0,0,0,0,0
AVESA.00001b.r3.1Ag0000027,20,10,8,7,8,4,6,18,7,13,11
AVESA.00001b.r3.1Ag0000028,33,26,34,25,20,1,27,31,29,13,42
AVESA.00001b.r3.1Ag0000029,0,0,0,0,0,0,0,0,0,1,0
AVESA.00001b.r3.1Ag0000030,80,104,121,91,102,50,109,106,94,116,115
AVESA.00001b.r3.1Ag0000031,6,8,17,17,8,0,10,5,15,11,2
AVESA.00001b.r3.1Ag0000032,64,49,46,39,42,18,70,96,51,45,45
AVESA.00001b.r3.1Ag0000033,23,20,11,24,27,4,51,34,34,22,18
AVESA.00001b.r3.1Ag0000034,34,28,21,29,19,9,19,32,39,18,36
AVESA.00001b.r3.1Ag0000035,270,350,314,256,365,260,435,406,314,331,390
AVESA.00001b.r3.1Ag0000036,0,0,0,0,2,0,0,0,1,1,0
AVESA.00001b.r3.1Ag0000037,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000038,0,0,0,2,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0000039,50,49,97,36,56,63,43,36,96,35,51
AVESA.00001b.r3.1Ag0000040,4,21,33,36,33,17,21,37,18,18,27
AVESA.00001b.r3.1Ag0000041,37,66,95,65,46,16,42,63,108,41,118
AVESA.00001b.r3.1Ag0000042,22,32,25,26,37,4,33,25,44,32,46
